Designator,Footprint,Quantity,Value,LCSC Part #
"C18, C19",0603,2,10uF,
"C20, C21",0603,2,22pF,
"J1, J2, J3, J5",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,4,USB_C_Receptacle_USB2.0_16P,
J4,USB_A_TE_292303-7_Horizontal,1,USB_A,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,5.1k,
R15,0603,1,12K,
U1,SSOP-28_3.9x9.9mm_P0.635mm,1,FE1.1s,
"U2, U3, U4, U5, U6",SOT-23-6,5,USBLC6-2SC6,
Y4,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,12MHz,
